source,domain,canonical_url,title,authors,publish_date,text
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83736/daniel-vorcaro-de-principe-do-sistema-financeiro-a-uma-figura-rejeitada-pelo-mercado-e-pelas-elites-do-poder,Daniel Vorcaro: de “príncipe” do sistema financeiro a uma figura rejeitada pelo mercado e pelas elites do poder,Jornal Da Cidade Online; Luiz Holanda,,"Levado por Guido Mantega, ex-ministro da Fazenda de Dilma Roussef, o dono do Banco Master, Daniel Vorcaro, se encontrou com o presidente Lula da Silva fora da agenda. O encontro foi sigiloso, e ocorreu no dia 4 de dezembro de 2024, no Palácio do Planalto. Nessa ocasião, Lula teria aconselhado o banqueiro a não vender o Banco Master ao BTG Pactual, de André Esteves. Segundo a imprensa, a reunião contou com a presença do ministro da Casa Civil, Rui Costa, do ministro de Minas e Energia, Alexandre Silveira, do próprio Guido Mantega e do atual presidente do Banco Central (BC), Gabriel Galípolo, na época apenas indicado para o cargo. Em nota, o BTG afirmou que jamais quis comprar o Master, e que sua atuação “limitou-se à aquisição estratégica de ativos não problemáticos, visando prover liquidez à instituição em janelas pontuais de mercado"". Mantega foi “consultor” do Master com um salário de R$ 1 milhão por mês. A Polícia Federal (PF) também descobriu que o banqueiro dialogava com ministros do Supremo Tribunal Federal (STF), entre os quais Alexandre de Moraes, Dias Toffoli e Gilmar Mendes. Com Alexandre de Moraes as conexões revelam contatos diretos, além de um contrato milionário envolvendo o escritório de advocacia da esposa do magistrado: R$ 129 mi9lhões. A PF encontrou registros no celular do banqueiro sugerindo encontros pessoais com o ministro em Brasília e em Campos do Jordão (SP). Em uma das mensagens interceptadas, Vorcaro relata à sua noiva estar indo ao encontro de Moraes. Com o ministro Dias Toffoli, os vínculos envolvem o uso de jatinho particular, negócios e troca de mensagens. Registros da Anac revelaram que o ministro viajou em jatinho pertencente a uma empresa da qual Daniel Vorcaro era sócio. A viagem ocorreu para assistir à final da Libertadores em Lima, no Peru. Mensagens e dados extraídos do celular de Vorcaro apontam para conversas sobre negócios e cobranças de dívidas envolvendo um resort (Tayayá), supostamente ligado a familiares do ministro. Toffoli negou ter qualquer tipo de proximidade pessoal com o advogado de Vorcaro e afirmou que amizades com empresários donos da aeronave motivaram as viagens. O ministro Gilmar Mendes utilizou, em janeiro de 2025, um jato da empresa Prime You, da qual Vorcaro era sócio. O ministro declarou publicamente que não sabia da relação do banqueiro com a empresa e que pegou carona a convite do empresário Marcos Molina (acionista da BRF/Marfrig). No julgamento que determinou a prisão preventiva de Vorcaro, Gilmar acompanhou o voto do relator, ministro André Mendonça, pela manutenção da prisão, mas ressaltou pontos de divergência. Ele criticou o que chamou de métodos ""lavajatistas"" e excessos na condução do caso. Mendes foi uma voz ativa contra o vazamento de conversas privadas de cunho íntimo de Vorcaro. Ele classificou a exposição do banqueiro como uma ""barbárie institucional"" e defendeu a aplicação da LGPD Penal para resguardar o sigilo em investigações. O ex-ministro Ricardo Lewandowski também tinha relações com o banqueiro, entre as quais a prestação de serviços de consultoria jurídica pelo escritório de advocacia ligado à sua família (administrado por sua esposa e filho), o qual prestou consultoria ao Banco Master por R$ 250 mil mensais. O contrato foi até 2025. Já com a família Bolsonaro, as relações de Vorcaro (pelo menos por enquanto), giram em torno do financiamento do filme biográfico “Dark Horse”, sobre vida de Jair Bolsonaro. O senador Flávio Bolsonaro cobrou repasses milionários ao ex-banqueiro para financiar o filme, segundo afirma. Conversas e áudios divulgados em maio de 2026 expuseram o senador pressionando o banqueiro para cumprir os pagamentos do contrato, além da visita feita a Vorcaro após a sua prisão com uso de tornozeleira eletrônica. Com tanto conhecimento não é sem razão a alcunha de ""príncipe"" do sistema financeiro atribuída a Vorcaro. E isso está ligado à rápida ascensão do Master e à capacidade de Vorcaro de circular entre a elite econômica, o meio político e as esferas de poder em Brasília. Na sua gestão o banco saltou de um patrimônio de R$ 9 milhões em 2019 para cifras bilionárias, até a descoberta do rombo financeiro que pode chegar a R$ 500 bilhões. Agora, em vez de “príncipe” do sistema financeiro, Vorcaro se tornou uma figura controversa e rejeitada pelo mercado e pelas elites do poder. Além disso, está preso e prometendo uma delação que ninguém acredita; nem ele próprio."
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83670/alerta-as-forcas-de-seguranca-publica-de-belo-horizonte,ALERTA às forças de segurança pública de Belo Horizonte,Jornal Da Cidade Online; Alexandre Siqueira,,"Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr Um encontro já está marcado para a próxima terça-feira, 2, em frente à Câmara Municipal de Belo Horizonte. Trata-se da convocação para manifestação pública feita por duas torcidas organizadas do Clube Atlético Mineiro. De um lado, a torcida Força Atleticana Revolucionária, e do outro, a BolsoGalo. A primeira é torcida organizada oficial reconhecida pelo clube. As forças de segurança pública - Guarda Municipal, Polícia Militar, Polícia Civil -, devem entrar em alerta. Tudo começou a partir da aprovação da Outorga do Título de Cidadão Honorário de Belo Horizonte para o senador e pré-candidato Flávio Bolsonaro, em projeto do vereador Vile Santos (PL). A solenidade está marcada para terça-feira às 17h00. Neste sábado, houve a convocação da FAR para reunir pessoas em frente à Câmara Municipal a fim de protestar contra a distinção do senador Flávio: Aconteceu, então, a reação da outra torcida, a BolsoGalo, em apoio ao senador: O encontro pode ser explosivo! E neste ponto entra a imprensa, no caso o Portal UAI e outros veículos de comunicação do grupo, entre eles o Correio Braziliense. Por mais de 6 horas, o Portal UAI emplacou em sua capa a convocação feita pela organizada FAR. O tema, a partir daí, foi replicado por outras mídias. Tratei a respeito em postagem que publiquei no X, como segue: Até o fechamento desta matéria, o portal não divulgou “notícia” sobre a convocação da torcida BolsoGalo. Sobre isso, postei: O Clube Atlético Mineiro não se manifestou até o momento a respeito da manifestação política de suas torcidas. Resta dizer: o encontro está marcado! E para ser claro, da minha parte, penso e defendo que toda e qualquer manifestação popular, pacífica e ordeira, é legítima. O exercício da cidadania e democracia é feito pelo povo mesmo, e só dispensa qualquer via que inflame os movimentos e seus membros."
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83647/a-face-exposta-do-pt-no-poder-os-episodios-cabulosos,A face exposta do PT no poder: Os episódios “cabulosos”,Jornal Da Cidade Online,,"Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr Além da farsa do ""Lulinha Paz e Amor"", personagem fictício, verdadeiro estelionato eleitoral, que facilitou a aceitação do sindicalista radical e raivoso pelo mercado, episódios cada vez mais ""cabulosos"" passaram a ocorrer. O mais escandaloso foi o chamado ""mensalão"", compra de votos no congresso, através de propinas mensais em um enrolado processo de desvio de verbas públicas através de agências de publicidade e banqueiros ""amigos"". Como o PT sempre foi um partido radical de minorias, não conseguia articular maioria no Congresso para aprovar suas medidas. Quem conviveu com o poderoso Zé Dirceu nessa época, relata o profundo desprezo e arrogância com que tratava os parlamentares, a quem considerava verdadeiros sabujos comprados pela cúpula revolucionária iluminada. Esse foi um dos motivos que levou Zé Dirceu à cadeia. A profunda ojeriza que seu comportamento causava e às inimizades colecionadas. Além, é óbvio de todos os rolos em que se meteu. Lula, como sempre, negou tudo, não sabia de nada, ainda acusando ter sido traído pelos companheiros. Um caráter admirável! Esse foi o primeiro grande golpe à democracia perpetrado pelo PT, a corrupção, compra e anulação do Poder Legislativo. À esse escândalo ""Master"", se juntaram vários outros de menor monta. Como o caso Waldomiro Diniz, assessor da subchefia de Assuntos Parlamentares da Casa Civil, gravado cobrando propina de um bicheiro para campanhas políticas. O caso Francenildo, caseiro de Pallocci, que denunciou orgias promovidas pelo ex-ministro e teve seu sigilo bancário quebrado, contas vasculhadas para intimidar e tentar descredibilizar. O método não surgiu com Vorcaro. Fidel já utilizava esse método de incriminação e chantagem contra os adversários do regime cubano. Vou ainda mais longe, já era utilizado desde a antiga KGB de Stalin. Os dólares na cueca do assessor do deputado José Guimarães, nunca explicados. Escândalo nos Correios, assessor de licitações, indicado por Roberto Jefferson, então da base governista é gravado recebendo propinas, o que desencadeou o mensalão. Ocorreu também denúncia pela Revista Veja, que teve acesso à investigações da ABIN de doação de U$ 5 milhões das FARCs para a campanha de Lula. A investigação foi arquivada e considerada inconclusiva. Além da corrupção generalizada e do golpe aplicado no Legislativo, Lula começou seus experimentos na aparelhagem do STF. A princípio indicando ainda juristas respeitáveis, com notório saber jurídico, como César Peluso, Ayres Britto, Eros Grau e Joaquim Barbosa. Com o estrago causado pelo julgamento do mensalão, Lula passou a indicar militantes explícitos, como Lewandowiski, a partir de 2006. O medo de denunciar Lula era grande nessa época. Beneficiado pela economia, que surfava o grande boom de commodites, promovida pela alavancagem chinesa e a condução moderada da economia, sem aventuras, com a preservação do chamado ""tripé macroeconômico"" pelo tucano Henrique Meirelles no BC e Pallocci na Fazenda, Lula foi salvo pelo gongo. Poupado nos escândalos, escalou sua segunda aventura no poder. Pedro Possas. Médico. Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!"
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83575/lula-e-as-articulacoes-cabulosas-para-a-conquista-do-poder,Lula e as articulações cabulosas para a conquista do poder,Jornal Da Cidade Online,,"Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr Apoiado por antigos guerrilheiros anistiados, vários com ligações umbilicais com as ditaduras cubana, soviética, chinesa e outras organizações revolucionárias internacionais, contando com ampla divulgação midiática positiva, Lula foi eleito deputado federal, com votação recorde em 1987. Deputado medíocre, não se tem notícia de nenhum projeto com ideias próprias. Representou interesses coletivos sindicais, de minorias e da esquerda internacional na Constituinte, apesar de ter sido o líder do PT na Câmara. Com essa história, isenta de méritos, sem nunca ter administrado nem um botequim, nunca ter exercido cargos no Executivo, apenas um mandato de 2 anos como deputado fraco e participações em greves, Lula foi lançado candidato à presidência do Brasil. Nesta campanha, 1989, surge o primeiro escândalo relacionando Lula e PT à criminalidade. O sequestro de Abílio Diniz. No cativeiro estourado pela polícia, panfletos, camisetas e materiais da campanha presidencial do PT e Lula. O PT negou com veemência a participação no episódio e acusou os adversários de terem plantado provas, o que viria a se tornar padrão na história petista: a culpa é sempre de outros. Os ""coleguinhas"" da imprensa contribuíram para abafar e não investigar a fundo. Os sequestradores eram em sua maioria integrantes de organizações terroristas internacionais. Apenas um brasileiro, entre os 10 sequestradores, Raimundo Roselio Costa Freire, era militante da ala petista Convergência Socialista com treinamento guerrilheiro na Nicarágua. Anos depois esse sequestrador queixou-se de ter sido abandonado pela esquerda, tendo sido preso novamente por tráfico de drogas. Em uma greve de fome desses sequestradores presos, Lula pediu pessoalmente a FHC a soltura dos ""meninos"", fato confessado por ele, com orgulho, durante a última campanha presidencial de 2022. Abílio Diniz, o sequestrado, milionário, então dono do Grupo Pão de Açúcar, viria se tornar um dos maiores financiadores do PT e de Lula, na campanha de 2002. Assim como Emílio Odebrecht, que pagava mensalidades às FARCs, para que não sequestrassem seus funcionários e virou um dos maiores financiadores do PT/Lula, enrolado nos escândalos da Lava Jato. Lembremos que os antigos ""companheiros"" de Lula, anistiados, foram presos no regime militar exatamente pelo cometimento de sequestros, como do embaixador dos EUA, Charles Elbrick, além de outros crimes como assassinatos, roubo a bancos, de armas, explosões, etc. A grande imprensa fez vistas grossas a todos esses acontecimentos durante as décadas de 90 e anos 2000, evitando investigar e divulgar as ""articulações cabulosas"" do PT/Lula, tratando como teoria da conspiração de lunáticos. Pedro Possas. Médico. Lula tentou esconder, mas sua verdadeira face foi exposta. Detalhes e revelações do passado do petista estão no livro ""O Homem Mais Desonesto do Brasil - A verdadeira face de Luiz Inácio Lula da Silva"". Aproveite enquanto é tempo. Clique no link abaixo: https://www.conteudoconservador.com.br/products/a-maquina-contra-o-homem-como-o-sistema-tentou-destruir-um-presidente-e-despertou-uma-nacao Veja a capa:"
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83577/os-3-argumentos-mediocres-dos-especialistas-contra-a-classificacao-do-pcc-e-cv-como-organizacoes-terroristas,Os 3 argumentos medíocres dos “especialistas” contra a classificação do PCC e CV como organizações terroristas,Jornal Da Cidade Online,,"Juro que tentei, honestamente, entender o que poderia haver de ruim na decisão do governo Trump de classificar PCC e CV como organizações terroristas. Os especialistas listam objeções de três naturezas: 1) Cessaria a troca de informações entre as autoridades policias dos EUA (FBI/DEA) e a polícia brasileira, dado que a jurisdição do combate a essas organizações passaria a ser exclusivamente da CIA. Tomando a valor de face essa informação (parece estranha, dado que, hoje, 14 grupos criminosos da AL são classificados como terroristas, o que deixaria o DEA praticamente sem função nos EUA), à primeira vista parece ruim mesmo. No entanto, se pensarmos bem, essa decisão do governo americano teve origem justamente na percepção de que as instituições latino-americanas, incluindo a polícia, estão todas contaminadas pelo crime organizado. Assim, não trocar informações pode ser um ativo, não um passivo, no combate a esses grupos. 2) Impacto negativo sobre o sistema financeiro, dado que o governo americano pode congelar contas e sancionar os bancos mesmo que esses não tenham conhecimento de que estão sendo usados para lavar dinheiro do crime, o que criaria insegurança jurídica. Esse é um argumento bem fraco. As instituições financeiras são obrigadas, pela lei brasileira, a terem políticas de KYC (Know York Client) e AML (Anti Money Laudering). Nenhuma instituição pode alegar “desconhecimento” sobre movimentações do crime em suas contas, pois é obrigação legal dos bancos conhecerem a origem dos recursos de seus clientes. Não há insegurança jurídica alguma aqui. Pelo contrário, os bancos vão apertar ainda mais os seus controles, porque sabem que com a lei americana não se brinca. 3) Estaria havendo uma interferência indevida na autonomia e soberania brasileiras. Esse é o argumento mais risível. Só faltou o slogan “o PCC é nosso”. Ora, já estamos perdendo a soberania para essas organizações criminosas. O Rio e boa parte do Nordeste já, são na prática, narcoestados, e o restante do Brasil caminha a passos céleres nessa direção. Foram anos de leniência e cumplicidade do Eatado brasileiro com o crime organizado, e agora vamos encher a boca para falar de soberania? Me poupem. Um Estado não tem soberania só por ter uma bandeira e um hino. É preciso defendê-la aplicando a lei, coisa em que falhamos miseravelmente. Estão aí os argumentos contra a decisão do governo Trump. Seria curioso ouvir também a opinião de criminosos faccionados. Se é tão ruim assim, eles devem ter gostado, certo? Ou não? Marcelo Guterman. Engenheiro de Produção pela Escola Politécnica da USP e mestre em Economia e Finanças pelo Insper. Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!"
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83571/trump-da-um-golpe-financeiro-e-operacional-nas-organizacoes-terroristas-brasileiras,Trump dá um golpe financeiro e operacional nas “organizações terroristas” brasileiras,Jornal Da Cidade Online; Lucia Sweet,,"Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr A designação de uma organização como terrorista estrangeira (Foreign Terrorist Organization – FTO) nos Estados Unidos foi estabelecida pela Antiterrorism and Effective Death Penalty Act de 1996, atualizada em 2004 (AEDPA). Para que ocorra tal designação, a lei federal exige três critérios cumulativos: a organização deve ser estrangeira; deve envolver-se em atividade terrorista ou demonstrar capacidade e intenção claras de praticá-la; e essa atividade deve representar ameaça concreta à segurança nacional dos Estados Unidos. O Secretário de Estado Marco Rubio publicou no X, nesta quinta-feira, 28 de maio de 2026: “O Primeiro Comando da Capital e o Comando Vermelho são duas das organizações criminosas mais violentas do Brasil. Seu alcance estende-se por toda a nossa região e adentra o nosso país. Hoje, designei essas organizações como Organizações Terroristas Estrangeiras e como Terroristas Globais Especialmente Designados. A Administração Trump continuará a utilizar todas as ferramentas disponíveis para proteger os interesses de segurança nacional dos Estados Unidos e negar financiamento e recursos aos narco-terroristas.” O vice-secretário de Estado Christopher Landau reforçou a publicação: “Essas organizações criminosas violentas baseadas no Brasil representam uma grave ameaça à segurança não apenas para o povo brasileiro, mas para todos os povos do Hemisfério Ocidental, incluindo os Estados Unidos. Sob @POTUS @realDonaldTrump e @SecRubio, levamos essa ameaça muito a sério e estamos comprometidos em combater e destruir essas organizações.” Com isso, o PCC e o CV foram incluídos na lista ao lado do Cártel de Sinaloa, do Cártel de Jalisco Nova Geração, do Tren de Aragua, do MS-13, do Clan del Golfo, do Cártel de los Soles, de Los Choneros e de Los Lobos, entre outros. Existe risco real para instituições financeiras e empresas brasileiras com exposição internacional que, intencionalmente ou não, tenham realizado nos Estados Unidos transações relacionadas à lavagem de dinheiro dessas facções. Para o governo brasileiro, a medida cria um problema diplomático; para as facções, um golpe financeiro e operacional; e para a Administração Trump, uma vitória política no combate ao narcotráfico. A designação entra em vigor imediatamente após a publicação. Importante ressaltar que essa designação não autoriza os Estados Unidos a realizarem qualquer ação militar ou unilateral em território brasileiro, respeitando plenamente a soberania nacional."
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83512/surge-uma-nova-alternativa-para-zema-e-o-caminho-se-abre-para-flavio,Surge uma nova alternativa para Zema e o caminho se abre para Flávio,Jornal Da Cidade Online; Victor Vonn Serran,,"No mês de maio, assine o plano anual e ganhe 3 meses de bônus! Zema está perdendo apoio, e uma parte do Novo já está rachada. Como o partido pode perder espaço pela cláusula de barreira, alguns movimentos diferentes estão sendo cogitados, um exemplo disso seria Zema vir vice de Caiado, no caso dos atritos com Flávio se intensificarem. Caiado é mais esperto, e não condenou Flávio. O ideal agora é sentar com ele para conversar, e isolar Zema de qualquer possível chapa futura. A visita de Flávio a Trump foi excelente, e vai ajudar o 01 a recuperar parte dos eleitores confusos no caso do financiamento do filme. As principais notícias do dia no seu e-mail."
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83480/o-vies-autoritario-por-tras-dessa-estrategia-que-ameaca-o-proprio-debate-democratico,O viés autoritário por trás dessa estratégia que ameaça o próprio debate democrático,Jornal Da Cidade Online; Lucia Sweet,,"O ministro do STF André Mendonça reconhece que a Justiça Eleitoral é “confiável e digna de orgulho”, mas ressalta que a dúvida ou a incredulidade em relação às eleições não é crime. Trata-se de direito constitucional protegido pela liberdade de expressão (art. 5º, IV e IX, da Constituição Federal). Em seu voto lido em 4 de junho de 2025 no julgamento do Marco Civil da Internet, ele afirmou textualmente: “A Justiça Eleitoral brasileira é confiável e digna de orgulho. Se, apesar disso, um cidadão brasileiro vier a desconfiar dela, este é um direito. No Brasil, é lícito duvidar da existência de Deus, de que o homem foi à Lua e também das instituições.” O próprio Supremo Tribunal Federal e o Tribunal Superior Eleitoral já reconheceram que o direito à dúvida faz parte do debate democrático. Ninguém pode ser punido criminalmente apenas por expressar descrença ou críticas ao sistema eleitoral. Em outras palavras, a dúvida é livre. O que não se tolera é o abuso. Por exemplo, divulgar fatos sabidamente falsos (fake news), incitar violência, desordem ou atentado contra o Estado Democrático de Direito, fazer propaganda eleitoral irregular com desinformação grave, cometer calúnia, difamação ou injúria eleitoral. O grande desafio, portanto, reside na interpretação equilibrada desses limites. É fundamental preservar a liberdade de expressão, impedindo que, sob o pretexto de combater abusos, se instaure uma perigosa censura à opinião dissidente — prática perniciosa da esquerda no mundo inteiro, que recorre à censura para supostamente “defender a democracia”. Nos últimos anos, a violência política tem vitimado figuras expoentes da direita, como Shinzo Abe, no Japão, Charlie Kirk, nos Estados Unidos, Miguel Uribe Turbay, na Colômbia, e Fernando Villavicencio, no Equador — sem que nenhum político de esquerda tenha sido assassinado em atentados políticos. Donald Trump sobreviveu a três tentativas de assassinato, em uma das quais uma bala de rifle estilo AR-15 passou a poucos milímetros de sua orelha direita, enquanto Jair Bolsonaro sobreviveu a uma facada que não atingiu a aorta abdominal por milímetros, mas lhe deixou sequelas gravíssimas. Mesmo assim está preso por um suposto atentado sem armas cometido por idosos, ambulantes, moradores de rua e tendo como armas bíblias e batons, revelando o verdadeiro viés autoritário por trás dessa estratégia que ameaça o próprio debate democrático."
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83486/frutos-politicos-da-reuniao-entre-flavio-e-trump-serao-colhidos-e-algo-muito-importante-ficou-evidenciado,Frutos políticos da reunião entre Flávio e Trump serão colhidos e algo muito importante ficou evidenciado,Jornal Da Cidade Online; Marco Angeli Full,,"Compartilhar no Facebook Compartilhar no Whatsapp Compartilhar no Twitter Compartilhar no Messenger Compartilhar no Telegram Compartilhar no Gettr Notável a posição clara de Flavio Bolsonaro sobre o crime organizado: fez um pedido ao presidente americano para que as facções CV e PCC fossem consideradas grupos terroristas, o que bate de frente com a posição do lulismo, que protege essas facções. Essa declaração de Flavio Bolsonaro é uma demonstração de coragem que deve impressionar positivamente os norte americanos, especialmente Donald Trump, que sofreu 3 tentativas de assassinato e teve sua filha ameaçada recentemente. Trump sabe exatamente o que significa lutar contra o crime organizado e as forças radicais da esquerda, para isso basta lembrar do assassinato de Charlie Kirk em setembro de 2025. Os frutos políticos dessa reunião serão vistos nos próximos dias, mas uma coisa é certa e comprovada: Flavio Bolsonaro tem muito mais a oferecer a Trump do que lula. E Flávio tem muito mais a oferecer ao Brasil."
JCO Opinião,www.jornaldacidadeonline.com.br,https://www.jornaldacidadeonline.com.br/noticias/83491/gilmar-publica-artigo-no-estadao-defende-a-censura-e-alega-para-tal-uma-suposta-soberania-digital,"Gilmar publica artigo no Estadão, defende a “censura” e alega para tal uma suposta “soberania digital”",Jornal Da Cidade Online,,"Por trás de todo esse palavrório, o que eu consegui entender desse artigo de Gilmar Mendes é o seguinte: como os fornecedores de infraestrutura digital são todos estrangeiros, precisamos censurar as redes. Claro, o ministro não usou a palavra “censurar”. Seu caminho é tortuoso. Ele fala de “proteção insuficiente a bens jurídicos constitucionais de alta relevância”. E, para isso, defende o canetaço que o STF deu no Marco Civil da Internet, que atropelou prerrogativas do Legislativo ao determinar que as plataformas são responsáveis pelo que vai nelas publicados. O que isso tem a ver com “soberania digital” permanece um mistério. O decano vai além. Sugere ao Executivo a criação de um Ministério da Soberania Digital. Em tese, seria um ministério que cuidaria do fomento à tecnologia nacional. Como, na prática, é mais fácil o Homem chegar a Marte do que o Brasil conseguir competir nesse mercado, fica a questão de quais seriam as reais atribuições de um ministério desse tipo. O “Observatório da Democracia”, aninhado na AGU com o objetivo de combater fake news contra o governo, contando a “verdade oficial”, demonstra o potencial de um ministério desse tipo. Por fim, o ministro não poderia deixar de citar o seu evento, o Gilmarpalooza. Como que a justificar a existência de um evento a 10.000 km de distância do país objeto dos debates, o decano afirma que haverá um painel específico sobre “soberania digital”. Agora sim, fica claro que esse evento é muito necessário para o progresso do País. Marcelo Guterman. Engenheiro de Produção pela Escola Politécnica da USP e mestre em Economia e Finanças pelo Insper. Estamos sobrevivendo graças a ajuda de nossos assinantes e parceiros comerciais. Para fortalecer a nossa batalha, considere se tornar um assinante, o que lhe dará o direito de assistir o primeiro PODCAST conservador do Brasil e ter acesso exclusivo ao conteúdo da Revista A Verdade, onde os ""assuntos proibidos"" no Brasil são revelados. Para assinar, clique no link: https://assinante.jornaldacidadeonline.com.br/apresentacao SEU APOIO É MUITO IMPORTANTE! CONTAMOS COM VOCÊ!"
